Extra,Giorno,Ora,Classe,Aula,Piano
,giovedì,7°,5A_EN,17,TERRA
,Venerdì,1°,5A_EN,7,TERRA
,Venerdì,2°,5A_EN,7,TERRA
,venerdì,3°,5A_EN,7,TERRA
,venerdì,4°,5A_EN,38,PRIMO
,venerdì,5°,5A_EN,32,PRIMO
,venerdì,6°,5A_EN,32,PRIMO
,Lunedì,1°,5A_ET,Lab. TDP,PLESSO LABORATORI
,Lunedì,2°,5A_ET,Lab. TDP,PLESSO LABORATORI
,lunedì,3°,5A_ET,Lab. TDP,PLESSO LABORATORI
,lunedì,4°,5A_ET,36,PRIMO
,lunedì,5°,5A_ET,36,PRIMO
,lunedì,6°,5A_ET,36,PRIMO
,Martedì,1°,5A_ET,20,TERRA
,Martedì,2°,5A_ET,20,TERRA
,martedì,3°,5A_ET,42,PRIMO
,martedì,4°,5A_ET,42,PRIMO
,martedì,5°,5A_ET,42,PRIMO
,martedì,6°,5A_ET,27,PRIMO
,martedì,7°,5A_ET,27,PRIMO
,Mercoledì,1°,5A_ET,35,PRIMO
,Mercoledì,2°,5A_ET,35,PRIMO
,mercoledì,3°,5A_ET,38,PRIMO
,mercoledì,4°,5A_ET,38,PRIMO
,mercoledì,5°,5A_ET,38,PRIMO
,mercoledì,6°,5A_ET,38,PRIMO
,Giovedì,1°,5A_ET,47,PRIMO
,Giovedì,2°,5A_ET,47,PRIMO
,giovedì,3°,5A_ET,48,PRIMO
,giovedì,4°,5A_ET,48,PRIMO
,giovedì,5°,5A_ET,Lab. EN,PLESSO LABORATORI
,giovedì,6°,5A_ET,Lab. EN,PLESSO LABORATORI
,giovedì,7°,5A_ET,Lab. EN,PLESSO LABORATORI
,Venerdì,1°,5A_ET,Lab. SIS,PLESSO LABORATORI
,Venerdì,2°,5A_ET,Lab. SIS,PLESSO LABORATORI
,venerdì,3°,5A_ET,Lab. SIS,PLESSO LABORATORI
,venerdì,4°,5A_ET,44,PRIMO
,venerdì,5°,5A_ET,Lab. EN,PLESSO LABORATORI
,venerdì,6°,5A_ET,Lab. EN,PLESSO LABORATORI
,Lunedì,1°,5B_OD,21,TERRA
,Lunedì,2°,5B_OD,21,TERRA
,lunedì,3°,5B_OD,11,TERRA
,lunedì,4°,5B_OD,11,TERRA
,lunedì,5°,5B_OD,23,TERRA
,lunedì,6°,5B_OD,23,TERRA
,Martedì,1°,5B_OD,44,PRIMO
,Martedì,2°,5B_OD,32,PRIMO
,martedì,3°,5B_OD,32,PRIMO
,martedì,4°,5B_OD,32,PRIMO
,martedì,5°,5B_OD,Lab. OD1,PLESSO LABORATORI
,martedì,6°,5B_OD,Lab. OD1,PLESSO LABORATORI
